Province,month,revenue
Kalimantan Utara,2,36403969.480000004
Kalimantan Utara,3,43950422.51
Kalimantan Utara,4,44225853.31
Kalimantan Utara,5,42757824.22
Kalimantan Utara,6,41160134.07
Kalimantan Utara,7,40317247.96
Kalimantan Utara,8,37758724.23
Kalimantan Utara,9,39006818.98
Kalimantan Utara,10,38755633.39
Kalimantan Utara,11,41467459.89
Kalimantan Utara,12,45889343.38
Kepulauan Bangka Belitung,1,308867183.88
Kepulauan Bangka Belitung,2,310706972.36
Kepulauan Bangka Belitung,3,378905687.41
Kepulauan Bangka Belitung,4,375401936.93
Kepulauan Bangka Belitung,5,335066543.23
Kepulauan Bangka Belitung,6,340669076.27
Kepulauan Bangka Belitung,7,376284952.54
Kepulauan Bangka Belitung,8,389396353.45
Kepulauan Bangka Belitung,9,438885680.99
Kepulauan Bangka Belitung,10,475581903.27
Kepulauan Bangka Belitung,11,471435523.55
Kepulauan Bangka Belitung,12,437058826.59
Kepulauan Riau,1,210565688.31
Kepulauan Riau,2,201141375.73
Kepulauan Riau,3,254203099.18
Kepulauan Riau,4,249334164.44
Kepulauan Riau,5,226349899.71
Kepulauan Riau,6,208498688.65
Kepulauan Riau,7,222815116.6
Kepulauan Riau,8,291828346.35
Kepulauan Riau,9,317484772.95
Kepulauan Riau,10,332523000.65
Kepulauan Riau,11,314514708.79
Kepulauan Riau,12,330493519.08
Lampung,1,1149051702.17
Lampung,2,1045863344.99
Lampung,3,1204937724.64
Lampung,4,1160884919.59
Lampung,5,1100778944.47
Lampung,6,1228893908.86
Lampung,7,1229630624.44
Lampung,8,1272227478.39
Lampung,9,1355044933.17
Lampung,10,1381179617.82
Lampung,11,1385540803.49
Lampung,12,1361787105.33
Maluku,1,85157500.82
Maluku,2,80961052.97
Maluku,3,101715231.91
Maluku,4,101264784.67999999
Maluku,5,105979954.53999999
Maluku,6,107092916.2
Maluku,7,84275676.4
Maluku,8,91037023.05
Maluku,9,91811230.24
Maluku,10,103660448.09
Maluku,11,106601743.65
Maluku,12,105085337.18
Maluku Utara,1,47429471.91
Maluku Utara,2,57790553.38
Maluku Utara,3,64514596.39
Maluku Utara,4,63174285.6
Maluku Utara,5,64954964.51
Maluku Utara,6,63210318.67
Maluku Utara,7,54381769.38
Maluku Utara,8,59126758.22
Maluku Utara,9,57058540.36
Maluku Utara,10,59916109.17
Maluku Utara,11,60834889.800000004
Maluku Utara,12,52878149.54
Nanggroe Aceh Darussalam,1,611747485.22
Nanggroe Aceh Darussalam,2,584452930.36
Nanggroe Aceh Darussalam,3,709280693.28
Nanggroe Aceh Darussalam,4,680038621.1
Nanggroe Aceh Darussalam,5,682065173.62
Nanggroe Aceh Darussalam,6,707548625.88
Nanggroe Aceh Darussalam,7,740139665.45
Nanggroe Aceh Darussalam,8,777522653.5
Nanggroe Aceh Darussalam,9,800532587.3
Nanggroe Aceh Darussalam,10,836204349.12
Nanggroe Aceh Darussalam,11,825555071.67
Nanggroe Aceh Darussalam,12,805135967.34
Nusa Tenggara Barat,1,416379597.12
Nusa Tenggara Barat,2,370375893.14
Nusa Tenggara Barat,3,465749347.4
Nusa Tenggara Barat,4,484981127.76
Nusa Tenggara Barat,5,503368874.09000003
Nusa Tenggara Barat,6,511965224.43
Nusa Tenggara Barat,7,484204740.93
Nusa Tenggara Barat,8,490445069.21
Nusa Tenggara Barat,9,505669117.23
Nusa Tenggara Barat,10,528114761.3
Nusa Tenggara Barat,11,482702318.5
Nusa Tenggara Barat,12,462676784.65
Nusa Tenggara Timur,1,325537825.05
Nusa Tenggara Timur,2,267971016.49
Nusa Tenggara Timur,3,324558806.15999997
Nusa Tenggara Timur,4,304323257.66
Nusa Tenggara Timur,5,338759883.46
Nusa Tenggara Timur,6,358116671.14
Nusa Tenggara Timur,7,325721126.61
Nusa Tenggara Timur,8,339153684.83
Nusa Tenggara Timur,9,346389729.14
Nusa Tenggara Timur,10,327332424.82
Nusa Tenggara Timur,11,301398893.82
Nusa Tenggara Timur,12,276573485.72
Papua,1,123627518.01
Papua,2,113792538.14999999
Papua,3,139434834.23
Papua,4,133666864.19
Papua,5,139902747.18
Papua,6,150430782.23
Papua,7,150053650.1
Papua,8,156508014.39000002
Papua,9,170909067.8
Papua,10,180274354.45
Papua,11,179632064.82
Papua,12,207302982.17
Papua Barat,1,106217767.69
Papua Barat,2,111275760.98
Papua Barat,3,126453280.81
Papua Barat,4,108689288.78999999
Papua Barat,5,112977248.9
Papua Barat,6,118394998.98
Papua Barat,7,106726371.94
Papua Barat,8,111869735.74
Papua Barat,9,120058439.7
Papua Barat,10,128259288.29
Papua Barat,11,130979264.1
Papua Barat,12,132615373.9
Riau,1,1304987112.62
Riau,2,1224774524.25
Riau,3,1385843206.64
Riau,4,1316330863.29
Riau,5,1213345213.54
Riau,6,1327126683.29
Riau,7,1388445162.6
Riau,8,1456981399.62
Riau,9,1502918861.99
Riau,10,1495601431.71
Riau,11,1524199466.51
Riau,12,1596354023.34
Sulawesi Barat,1,134652584.87
Sulawesi Barat,2,104733630.91
Sulawesi Barat,3,124828234.2
Sulawesi Barat,4,125650090.8
