,tanggal,judul,judul_clean
43,2021-12-01,Alasan Grealish Tidak Mau Main di Manchester United,alas grealish main manchester united
44,2021-12-01,"Kata Luhut, Turis di Bali Paling Irit Dibanding Thailand dan Malaysia",luhut turis bal irit banding thailand malaysia
45,2021-12-01,"Hamil Jalani Pemeriksaan Polisi, Lesti Kejora: Enggak Kepikiran ",hamil jalan periksa polisi lesti kejora pikir
46,2021-12-01,10 Tips Mendekorasi Ruangan agar Lebih Nyaman dan Tertata,tips dekorasi ruang nyaman tata
47,2021-12-01,"Cerita Kunto Aji Lalui Cobaan Berat, Tiba-tiba Sakit Ketika Ingin Wujudkan Mimpinya",cerita kunto aji coba berat sakit wujud mimpi
48,2021-12-01,"Besi Penutup Gorong-gorong di Margonda Dicuri, 2 Minggu Belum Diperbaiki",besi tutup gorong gorong margonda curi minggu
49,2021-12-01,8 Manfaat Perdagangan Internasional,manfaat dagang internasional
50,2021-12-01,Mengungkap Desain Jembatan Kretek 2 di Lokasi Rawan Gempa dan Likuifaksi,desain jembatan kretek lokasi rawan gempa likuifaksi
51,2021-12-01,"2,5 Juta Warga Jakarta Belum Divaksin Covid-19 Dosis Kedua",juta warga jakarta vaksin covid dosis
52,2021-12-01,"Kecewa dengan Putusan Ganjar soal UMK, Buruh di Jateng Berencana Menggugat",kecewa putus ganjar umk buruh jateng rencana gugat
53,2021-12-01,BEM UI Pecat Seorang Pengurusnya Terkait Kekerasan Seksual,bem ui pecat orang urus kait keras seksual
54,2021-12-01,"Kunjungi Kapolri, Jenderal Dudung: Sowan sebagai Pejabat Baru KSAD ",kunjung kapolri jenderal dudung sowan jabat ksad
55,2021-12-01,"Hasil BWF World Tour Finals 2021: Marcus/Kevin Revans, Praveen/Melati Tumbang",hasil bwf world tour finals marcus kevin revans praveen melati tumbang
56,2021-12-01,"Presiden PSG Buka Suara, Mbappe Batal Hijrah ke Real Madrid?",presiden psg buka suara mbappe batal hijrah real madrid
57,2021-12-01,"Setelah Tidak Lagi Syuting, Putri Patricia Sempat Kerja Kantoran",syuting putri patricia kerja kantor
58,2021-12-01,Australia Tunda Buka Perbatasan akibat Varian Omicron,australia tunda buka batas akibat varian omicron
59,2021-12-01,"Hari AIDS Sedunia, Kenali Gejala HIV sejak Minggu Pertama Terinfeksi",aids dunia kenal gejala hiv minggu infeksi
60,2021-12-01,Cara Rian D'MASIV Tetap Aktif Bermusik dan Berbisnis di Masa Pandemi ,rian d masiv aktif musik bisnis pandemi
61,2021-12-01,"Raih Penghargaan FFI 2021, Film Nussa Bakal Tayang di Bioskop Online",raih harga ffi film nussa tayang bioskop online
62,2021-12-01,"Pembukaan Presidensi G20, Jokowi: Saya Undang Para Delegasi Datang ke Indonesia",buka presidensi g jokowi undang delegasi indonesia
63,2021-12-01,"Laba Konsolidasi BUMN Capai Rp 61 Triliun, Industri Keuangan Penyumbang Terbesar",laba konsolidasi bumn capai rp triliun industri uang sumbang
64,2021-12-01,"22 Korban Penipuan Marinir Gadungan Berpangkat Mayjen Lapor ke Polisi, Kerugian Capai Rp 500 Juta ",korban tipu marinir gadungan pangkat mayjen lapor polisi rugi capai rp juta
65,2021-12-01,6 Gejala Asam Urat yang Perlu Diwaspadai,gejala asam urat waspada
66,2021-12-01,Kemenkes Sebut Varian Omicron Sudah Terdeteksi di 23 Negara,kemenkes varian omicron deteksi negara
67,2021-12-01,"5 Restoran Fine Dining di Bali, Cocok untuk Liburan Romantis di Bali",restoran fine ning bal cocok libur romantis bal
68,2021-12-01,BWF World Tour Finals: Marcus/Kevin Senang Revans atas Juara Olimpiade,bwf world tour finals marcus kevin senang revans juara olimpiade
69,2021-12-01,Sampah Antariksa Berkecepatan Tinggi Bikin Astronot Gagal Spacewalk,sampah antariksa cepat bikin astronot gagal spacewalk
